檔名,偵測到,數量,耗時
M20220815_032551_Lulin_NB[P].jpg,Yes,2,0.028
M20220815_032837_Lulin_NB[P].jpg,Yes,2,0.017
M20220815_033013_Lulin_NB[P].jpg,Yes,1,0.024
M20220815_033203_Lulin_NB[P].jpg,Yes,1,0.025
M20220815_033241_Lulin_NB[P].jpg,Yes,1,0.018
M20220815_033411_Lulin_NB[P].jpg,Yes,2,0.021
M20220815_033631_Lulin_NB[P].jpg,Yes,1,0.013
M20220815_033847_Lulin_NB[P].jpg,Yes,1,0.020
M20220815_034722_Lulin_NB[P].jpg,Yes,2,0.014
M20220815_034742_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_040903_Lulin_NB[P].jpg,Yes,2,0.010
M20220815_041350_Lulin_NB[P].jpg,Yes,1,0.014
M20220815_042003_Lulin_NB[P].jpg,Yes,2,0.016
M20220815_042241_Lulin_NB[P].jpg,Yes,1,0.027
M20220815_042936_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_043326_Lulin_NB[P].jpg,Yes,1,0.018
M20220815_043404_Lulin_NB[P].jpg,No,0,0.020
M20220815_043409_Lulin_NB[P].jpg,Yes,1,0.009
M20220815_043648_Lulin_NB[P].jpg,Yes,1,0.018
M20220815_044058_Lulin_NB[P].jpg,Yes,1,0.014
M20220815_044646_Lulin_NB[P].jpg,Yes,1,0.017
M20220815_044707_Lulin_NB[P].jpg,Yes,1,0.016
M20220815_200642_Lulin_NB[P].jpg,Yes,1,0.026
M20220815_222958_Lulin_NB[P].jpg,No,0,0.005
M20220815_225042_Lulin_NB[P].jpg,No,0,0.010
M20220815_225244_Lulin_NB[P].jpg,Yes,1,0.009
M20220815_230031_Lulin_NB[P].jpg,Yes,1,0.016
M20220816_001936_Lulin_NB[P].jpg,Yes,1,0.007
M20220816_002135_Lulin_NB[P].jpg,Yes,2,0.016
M20220816_002742_Lulin_NB[P].jpg,Yes,2,0.014
M20220816_003413_Lulin_NB[P].jpg,No,0,0.012
M20220816_004355_Lulin_NB[P].jpg,Yes,2,0.008
M20220816_005256_Lulin_NB[P].jpg,Yes,3,0.011
M20220816_012744_Lulin_NB[P].jpg,Yes,2,0.016
M20220816_013026_Lulin_NB[P].jpg,Yes,1,0.016
M20220816_020347_Lulin_NB[P].jpg,No,0,0.026
M20220816_021954_Lulin_NB[P].jpg,Yes,1,0.017
M20220816_023141_Lulin_NB[P].jpg,Yes,1,0.013
M20220816_024559_Lulin_NB[P].jpg,Yes,2,0.012
M20220816_025537_Lulin_NB[P].jpg,Yes,1,0.016
M20220816_032604_Lulin_NB[P].jpg,Yes,2,0.028
M20220816_034856_Lulin_NB[P].jpg,Yes,2,0.013
M20220816_035228_Lulin_NB[P].jpg,Yes,1,0.015
M20220816_040430_Lulin_NB[P].jpg,Yes,1,0.021
M20220816_042639_Lulin_NB[P].jpg,Yes,1,0.020
M20220816_202518_Lulin_NB[P].jpg,Yes,2,0.022
M20220816_211053_Lulin_NB[P].jpg,Yes,1,0.019
M20220816_211912_Lulin_NB[P].jpg,No,0,0.019
M20220816_213418_Lulin_NB[P].jpg,Yes,1,0.020
M20220816_215848_Lulin_NB[P].jpg,Yes,1,0.020
M20220816_223219_Lulin_NB[P].jpg,No,0,0.010
M20220816_225334_Lulin_NB[P].jpg,Yes,1,0.017
M20220816_225913_Lulin_NB[P].jpg,Yes,1,0.018
M20220816_234212_Lulin_NB[P].jpg,Yes,1,0.011
M20220816_234553_Lulin_NB[P].jpg,Yes,1,0.019
M20220817_002205_Lulin_NB[P].jpg,Yes,1,0.022
M20220817_010630_Lulin_NB[P].jpg,Yes,1,0.009
M20220817_010742_Lulin_NB[P].jpg,No,0,0.014
M20220817_011404_Lulin_NB[P].jpg,Yes,1,0.017
M20220817_014252_Lulin_NB[P].jpg,Yes,1,0.016
M20220817_015346_Lulin_NB[P].jpg,Yes,1,0.008
M20220817_020022_Lulin_NB[P].jpg,Yes,1,0.016
M20220817_021052_Lulin_NB[P].jpg,No,0,0.013
M20220817_022540_Lulin_NB[P].jpg,Yes,1,0.007
M20220817_031213_Lulin_NB[P].jpg,Yes,2,0.014
M20220817_031714_Lulin_NB[P].jpg,No,0,0.010
M20220817_031937_Lulin_NB[P].jpg,Yes,2,0.013
M20220817_032203_Lulin_NB[P].jpg,Yes,2,0.026
M20220817_033041_Lulin_NB[P].jpg,Yes,1,0.022
M20220817_034132_Lulin_NB[P].jpg,Yes,1,0.017
M20220817_040054_Lulin_NB[P].jpg,Yes,3,0.019
M20220817_040848_Lulin_NB[P].jpg,No,0,0.016
M20220817_041157_Lulin_NB[P].jpg,Yes,2,0.008
M20220817_042429_Lulin_NB[P].jpg,Yes,1,0.016
M20220817_044211_Lulin_NB[P].jpg,Yes,1,0.022
M20220818_021744_Lulin_NB[P].jpg,Yes,1,0.016
M20220818_223746_Lulin_NB[P].jpg,Yes,1,0.016
M20220818_232000_Lulin_NB[P].jpg,Yes,1,0.008
M20220819_012410_Lulin_NB[P].jpg,No,0,0.016
M20220819_021337_Lulin_NB[P].jpg,No,0,0.023
M20220819_023337_Lulin_NB[P].jpg,Yes,1,0.017
M20220819_023940_Lulin_NB[P].jpg,No,0,0.000
M20220819_031502_Lulin_NB[P].jpg,No,0,0.016
M20220819_032901_Lulin_NB[P].jpg,Yes,2,0.008
M20220819_041637_Lulin_NB[P].jpg,Yes,1,0.021
M20220819_222525_Lulin_NB[P].jpg,Yes,1,0.011
M20220819_223622_Lulin_NB[P].jpg,No,0,0.009
M20220819_235045_Lulin_NB[P].jpg,Yes,1,0.014
M20220820_005651_Lulin_NB[P].jpg,Yes,2,0.016
M20220820_020240_Lulin_NB[P].jpg,Yes,1,0.022
M20220820_023440_Lulin_NB[P].jpg,No,0,0.016
M20220820_024124_Lulin_NB[P].jpg,No,0,0.010
M20220820_030526_Lulin_NB[P].jpg,No,0,0.016
M20220820_030553_Lulin_NB[P].jpg,Yes,1,0.007
M20220820_032151_Lulin_NB[P].jpg,Yes,1,0.019
M20220820_033611_Lulin_NB[P].jpg,Yes,1,0.010
M20220820_040918_Lulin_NB[P].jpg,Yes,1,0.003
M20220820_041947_Lulin_NB[P].jpg,Yes,1,0.016
M20220820_042632_Lulin_NB[P].jpg,Yes,1,0.012
M20220820_231230_Lulin_NB[P].jpg,No,0,0.016
M20220820_235848_Lulin_NB[P].jpg,Yes,1,0.015
M20220821_022838_Lulin_NB[P].jpg,Yes,1,0.017
M20220821_024743_Lulin_NB[P].jpg,Yes,2,0.023
M20220821_030641_Lulin_NB[P].jpg,Yes,2,0.019
M20220821_031520_Lulin_NB[P].jpg,Yes,1,0.017
M20220821_031755_Lulin_NB[P].jpg,Yes,1,0.009
M20220821_033238_Lulin_NB[P].jpg,No,0,0.007
M20220821_035140_Lulin_NB[P].jpg,Yes,1,0.016
M20220821_041313_Lulin_NB[P].jpg,Yes,1,0.015
M20220821_043336_Lulin_NB[P].jpg,No,0,0.021
M20220822_001407_Lulin_NB[P].jpg,Yes,1,0.019
M20220822_001415_Lulin_NB[P].jpg,No,0,0.022
M20220822_010545_Lulin_NB[P].jpg,Yes,1,0.025
M20220822_012031_Lulin_NB[P].jpg,Yes,1,0.023
M20220822_035935_Lulin_NB[P].jpg,Yes,1,0.016
M20220822_040046_Lulin_NB[P].jpg,Yes,1,0.016
M20220822_042736_Lulin_NB[P].jpg,Yes,1,0.019
M20220822_043502_Lulin_NB[P].jpg,Yes,1,0.007
M20220822_045752_Lulin_NB[P].jpg,No,0,0.020
M20220823_004301_Lulin_NB[P].jpg,Yes,1,0.014
M20220823_023214_Lulin_NB[P].jpg,No,0,0.013
M20220823_024028_Lulin_NB[P].jpg,Yes,1,0.015
M20220823_030201_Lulin_NB[P].jpg,No,0,0.022
M20220823_030532_Lulin_NB[P].jpg,Yes,1,0.026
M20220823_031443_Lulin_NB[P].jpg,Yes,1,0.031
M20220823_033221_Lulin_NB[P].jpg,No,0,0.023
M20220823_212751_Lulin_NB[P].jpg,Yes,1,0.016
M20220823_214246_Lulin_NB[P].jpg,Yes,1,0.026
M20220824_024743_Lulin_NB[P].jpg,Yes,1,0.020
M20220825_015632_Lulin_NB[P].jpg,Yes,1,0.018
M20220825_024733_Lulin_NB[P].jpg,Yes,1,0.021
M20220825_034923_Lulin_NB[P].jpg,No,0,0.018
M20220825_035834_Lulin_NB[P].jpg,No,0,0.016
M20220825_041941_Lulin_NB[P].jpg,No,0,0.017
M20220825_043731_Lulin_NB[P].jpg,Yes,1,0.009
M20220825_044607_Lulin_NB[P].jpg,Yes,1,0.014
M20220826_014030_Lulin_NB[P].jpg,Yes,1,0.024
M20220826_034140_Lulin_NB[P].jpg,Yes,1,0.020
M20220826_034856_Lulin_NB[P].jpg,Yes,1,0.019
M20220826_040815_Lulin_NB[P].jpg,Yes,1,0.020
M20220826_044251_Lulin_NB[P].jpg,Yes,1,0.021
M20220826_044743_Lulin_NB[P].jpg,No,0,0.020
M20220827_001619_Lulin_NB[P].jpg,Yes,1,0.022
M20220827_012038_Lulin_NB[P].jpg,No,0,0.016
M20220827_031522_Lulin_NB[P].jpg,No,0,0.016
M20220827_032355_Lulin_NB[P].jpg,No,0,0.000
M20220827_040848_Lulin_NB[P].jpg,Yes,1,0.016
M20220827_045716_Lulin_NB[P].jpg,Yes,2,0.017
M20220828_012750_Lulin_NB[P].jpg,Yes,1,0.014
M20220828_022444_Lulin_NB[P].jpg,Yes,1,0.018
M20220828_033441_Lulin_NB[P].jpg,Yes,1,0.017
M20220828_034405_Lulin_NB[P].jpg,Yes,1,0.018
M20220828_040025_Lulin_NB[P].jpg,No,0,0.015
M20220828_043128_Lulin_NB[P].jpg,No,0,0.016
M20220828_045041_Lulin_NB[P].jpg,Yes,2,0.017
M20220829_002714_Lulin_NB[P].jpg,Yes,1,0.009
M20220829_010549_Lulin_NB[P].jpg,No,0,0.013
M20220829_025334_Lulin_NB[P].jpg,Yes,2,0.005
M20220829_032132_Lulin_NB[P].jpg,Yes,1,0.015
M20220829_034210_Lulin_NB[P].jpg,No,0,0.018
M20220829_040830_Lulin_NB[P].jpg,Yes,1,0.019
M20220829_041531_Lulin_NB[P].jpg,Yes,1,0.014
M20220829_042411_Lulin_NB[P].jpg,Yes,1,0.016
M20220830_012853_Lulin_NB[P].jpg,Yes,1,0.021
M20220830_020223_Lulin_NB[P].jpg,Yes,1,0.022
M20220830_020659_Lulin_NB[P].jpg,Yes,2,0.004
M20220830_022024_Lulin_NB[P].jpg,Yes,1,0.016
M20220830_023025_Lulin_NB[P].jpg,No,0,0.008
M20220830_030005_Lulin_NB[P].jpg,Yes,1,0.017
M20220830_030245_Lulin_NB[P].jpg,Yes,3,0.016
M20220830_035536_Lulin_NB[P].jpg,No,0,0.016
M20220830_040929_Lulin_NB[P].jpg,Yes,1,0.014
M20220830_042323_Lulin_NB[P].jpg,No,0,0.020
M20220830_042709_Lulin_NB[P].jpg,Yes,1,0.016
M20220830_042810_Lulin_NB[P].jpg,Yes,1,0.008
M20220830_043323_Lulin_NB[P].jpg,Yes,1,0.016
M20220830_044530_Lulin_NB[P].jpg,Yes,1,0.016
M20220830_214041_Lulin_NB[P].jpg,Yes,1,0.007
M20220831_005247_Lulin_NB[P].jpg,Yes,1,0.016
M20220831_011323_Lulin_NB[P].jpg,Yes,1,0.016
M20220831_024948_Lulin_NB[P].jpg,No,0,0.016
M20220831_033603_Lulin_NB[P].jpg,No,0,0.010
M20220831_042314_Lulin_NB[P].jpg,No,0,0.016
M20220831_043556_Lulin_NB[P].jpg,Yes,1,0.016
M20220831_043609_Lulin_NB[P].jpg,No,0,0.016
M20220903_042414_Lulin_NB[P].jpg,Yes,1,0.004
M20220903_042430_Lulin_NB[P].jpg,Yes,1,0.016
M20220903_045907_Lulin_NB[P].jpg,Yes,2,0.025
M20220906_025952_Lulin_NB[P].jpg,Yes,1,0.009
M20220906_031828_Lulin_NB[P].jpg,No,0,0.007
M20220906_034105_Lulin_NB[P].jpg,Yes,1,0.020
M20220906_034529_Lulin_NB[P].jpg,Yes,1,0.021
M20220906_035925_Lulin_NB[P].jpg,Yes,1,0.023
M20220908_021020_Lulin_NB[P].jpg,No,0,0.017
M20220908_203529_Lulin_NB[P].jpg,No,0,0.016
M20220908_215928_Lulin_NB[P].jpg,Yes,1,0.014
M20220909_002036_Lulin_NB[P].jpg,Yes,1,0.012
M20220909_012505_Lulin_NB[P].jpg,No,0,0.013
M20220909_032139_Lulin_NB[P].jpg,No,0,0.016
M20220909_032533_Lulin_NB[P].jpg,No,0,0.018
M20220909_032639_Lulin_NB[P].jpg,No,0,0.017
M20220909_033018_Lulin_NB[P].jpg,Yes,1,0.011
M20220909_042659_Lulin_NB[P].jpg,Yes,1,0.016
M20220909_043013_Lulin_NB[P].jpg,Yes,1,0.014
M20220909_044619_Lulin_NB[P].jpg,No,0,0.016
M20220909_045258_Lulin_NB[P].jpg,Yes,2,0.016
M20220909_045408_Lulin_NB[P].jpg,Yes,1,0.018
M20220909_215035_Lulin_NB[P].jpg,Yes,1,0.014
M20220910_033025_Lulin_NB[P].jpg,No,0,0.016
M20220910_034337_Lulin_NB[P].jpg,Yes,1,0.011
M20220910_035013_Lulin_NB[P].jpg,Yes,1,0.008
M20220910_042528_Lulin_NB[P].jpg,Yes,1,0.002
M20220910_043547_Lulin_NB[P].jpg,Yes,1,0.000
M20220910_050303_Lulin_NB[P].jpg,Yes,1,0.015
M20220910_211602_Lulin_NB[P].jpg,Yes,1,0.048
M20220910_224448_Lulin_NB[P].jpg,Yes,2,0.019
M20220910_232329_Lulin_NB[P].jpg,Yes,1,0.013
M20220911_001603_Lulin_NB[P].jpg,Yes,2,0.013
M20220911_020252_Lulin_NB[P].jpg,Yes,2,0.022
M20220911_032010_Lulin_NB[P].jpg,Yes,3,0.015
M20220911_032159_Lulin_NB[P].jpg,Yes,3,0.032
M20220911_032734_Lulin_NB[P].jpg,Yes,2,0.023
M20220911_034116_Lulin_NB[P].jpg,Yes,1,0.016
M20220912_010905_Lulin_NB[P].jpg,Yes,1,0.006
M20220912_013541_Lulin_NB[P].jpg,Yes,2,0.018
M20220912_021758_Lulin_NB[P].jpg,Yes,1,0.017
M20220912_034602_Lulin_NB[P].jpg,No,0,0.017
M20220912_044452_Lulin_NB[P].jpg,Yes,1,0.016
M20220912_045027_Lulin_NB[P].jpg,Yes,1,0.016
M20220914_031347_Lulin_NB[P].jpg,No,0,0.000
M20220914_032804_Lulin_NB[P].jpg,Yes,1,0.016
M20220914_033507_Lulin_NB[P].jpg,Yes,1,0.006
